vgain,distinct_selected_offsets,channels_at_zero_offset,avg_mean_at_selected_offsets,avg_abs_error_to_2000,min_selected_offset,max_selected_offset
500,"2150,2200",0,1099.651421,1259.915143,2150,2200
750,"2150,2200",0,1743.960955,827.625755,2150,2200
1000,"2100,2150",0,1859.092218,622.061075,2100,2150
1250,"2050,2100",0,2012.318223,502.963000,2050,2100
1500,2000,0,2098.601752,341.375545,2000,2000
1750,"1800,1900",0,2354.206817,483.084475,1800,1900
2000,1700,0,1874.485060,185.021610,1700,1700
2250,"1400,1500",0,1979.248766,153.123876,1400,1500
2500,"1000,1100",0,1997.373283,121.106205,1000,1100
2750,0,11,2977.193659,977.193659,0,0
3000,"200,300",0,4049.936673,2049.936673,200,300
